Ticker,LastPrice,UpdateDate
XRPUPUSDT,0.2121,27.09.2022 14:38:36
SANTOSUSDT,18.159,27.09.2022 14:38:36
RSRUSDT,0.0076,27.09.2022 14:38:36
POLYUSDT,0.2648,27.09.2022 14:38:37
LINKUPUSDT,0.01518,27.09.2022 14:38:39
XRPUSDT,0.4707,27.09.2022 14:38:39
MKRUSDT,767.0,27.09.2022 14:38:40
COMPUSDT,63.31,27.09.2022 14:38:41
IOTAUSDT,0.3145,27.09.2022 14:38:42
UNIUSDT,6.61,27.09.2022 14:38:43
ASTRUSDT,0.0425,27.09.2022 14:38:43
LAZIOUSDT,7.0927,27.09.2022 14:38:44
INJUSDT,1.83,27.09.2022 14:38:45
QNTUSDT,126.1,27.09.2022 14:38:46
ALGOUSDT,0.3676,27.09.2022 14:38:46
ENSUSDT,15.58,27.09.2022 14:38:47
LINKUSDT,8.292,27.09.2022 14:38:48
KSMUSDT,44.88,27.09.2022 14:38:48
CITYUSDT,6.78,27.09.2022 14:38:48
BNBUPUSDT,34.65,27.09.2022 14:38:48
VGXUSDT,0.694,27.09.2022 14:38:49
BAKEUSDT,0.2395,27.09.2022 14:38:49
ADXUSDT,0.1768,27.09.2022 14:38:50
COTIUSDT,0.1058,27.09.2022 14:38:50
CAKEUSDT,4.819,27.09.2022 14:38:51
WTCUSDT,0.3047,27.09.2022 14:38:51
FLMUSDT,0.1137,27.09.2022 14:38:51
EPXUSDT,0.000454,27.09.2022 14:38:51
FILUSDT,6.03,27.09.2022 14:38:52
ONEUSDT,0.0212,27.09.2022 14:38:52
NEOUSDT,9.19,27.09.2022 14:38:52
GMTUSDT,0.6923,27.09.2022 14:38:53
RNDRUSDT,0.5,27.09.2022 14:38:53
DYDXUSDT,1.378,27.09.2022 14:38:53
PYRUSDT,3.64,27.09.2022 14:38:53
ZECUSDT,60.3,27.09.2022 14:38:54
ALPINEUSDT,3.9021,27.09.2022 14:38:54
SXPUSDT,0.3606,27.09.2022 14:38:54
BTSUSDT,0.0109,27.09.2022 14:38:55
GALUSDT,2.742,27.09.2022 14:38:55
API3USDT,1.621,27.09.2022 14:38:55
XMRUSDT,151.4,27.09.2022 14:38:56
ROSEUSDT,0.06289,27.09.2022 14:38:56
THETAUSDT,1.135,27.09.2022 14:38:57
TRBUSDT,15.82,27.09.2022 14:38:57
1INCHUSDT,0.645,27.09.2022 14:38:58
PSGUSDT,8.58,27.09.2022 14:38:58
OGUSDT,5.656,27.09.2022 14:38:59
ZENUSDT,14.71,27.09.2022 14:38:59
REEFUSDT,0.005143,27.09.2022 14:38:59
SYSUSDT,0.1813,27.09.2022 14:38:59
IOTXUSDT,0.03003,27.09.2022 14:39:00
DOTUPUSDT,0.1843,27.09.2022 14:39:00
DOGEUSDT,0.06268,27.09.2022 14:39:00
XVSUSDT,4.89,27.09.2022 14:39:01
RENUSDT,0.1155,27.09.2022 14:39:02
JOEUSDT,0.234,27.09.2022 14:39:03
SOLUSDT,35.01,27.09.2022 14:39:03
PORTOUSDT,5.8913,27.09.2022 14:39:04
OCEANUSDT,0.1661,27.09.2022 14:39:04
BCHUSDT,119.6,27.09.2022 14:39:04
WRXUSDT,0.2115,27.09.2022 14:39:05
KP3RUSDT,109.06,27.09.2022 14:39:05
BTCUPUSDT,4.265,27.09.2022 14:39:05
DASHUSDT,43.23,27.09.2022 14:39:05
BANDUSDT,1.244,27.09.2022 14:39:06
ATMUSDT,4.51,27.09.2022 14:39:06
BARUSDT,6.08,27.09.2022 14:39:06
OMGUSDT,1.801,27.09.2022 14:39:07
SKLUSDT,0.04126,27.09.2022 14:39:07
SUSHIUSDT,1.123,27.09.2022 14:39:07
ASRUSDT,3.92,27.09.2022 14:39:08
DOTUSDT,6.73,27.09.2022 14:39:09
LSKUSDT,1.012,27.09.2022 14:39:09
AAVEUSDT,80.0,27.09.2022 14:39:10
RIFUSDT,0.0591,27.09.2022 14:39:11
DATAUSDT,0.03278,27.09.2022 14:39:12
XECUSDT,4.156e-05,27.09.2022 14:39:13
KMDUSDT,0.2697,27.09.2022 14:39:13
ICPUSDT,6.33,27.09.2022 14:39:14
DGBUSDT,0.00988,27.09.2022 14:39:15
