ticker,last_price,update_date
BTCUSD,17327.0,11.11.2022 14:41:27
ETHUSD,1289.1,11.11.2022 14:41:27
XRPUSDT,0.3939,11.11.2022 14:41:27
LINKUSDT,7.161,11.11.2022 14:41:28
XTZUSDT,1.115,11.11.2022 14:41:28
LTCUSD,62.78,11.11.2022 14:41:28
ADAUSD,0.3649,11.11.2022 14:41:29
BCHUSDT,105.1,11.11.2022 14:41:29
COMPUSDT,39.9,11.11.2022 14:41:30
YFIUSDT,6630.0,11.11.2022 14:41:30
ALGOUSDT,0.317,11.11.2022 14:41:30
TRXUSDT,0.05724,11.11.2022 14:41:31
EOSUSDT,0.941,11.11.2022 14:41:31
ONTUSDT,0.1837,11.11.2022 14:41:31
NEOUSDT,7.01,11.11.2022 14:41:32
DOTUSDT,5.87,11.11.2022 14:41:32
UNIUSDT,6.069,11.11.2022 14:41:32
AAVEUSDT,67.35,11.11.2022 14:41:32
DOGEUSDT,0.0883,11.11.2022 14:41:33
BATUSDT,0.2645,11.11.2022 14:41:33
CHZUSDT,0.23055,11.11.2022 14:41:33
MANAUSD,0.5165,11.11.2022 14:41:33
ENJUSDT,0.362,11.11.2022 14:41:34
SUSHIUSDT,1.333,11.11.2022 14:41:34
SNXUSDT,1.935,11.11.2022 14:41:34
GRTUSDT,0.068,11.11.2022 14:41:34
MKRUSDT,799.5,11.11.2022 14:41:35
ZECUSDT,39.45,11.11.2022 14:41:35
FILUSDT,4.55,11.11.2022 14:41:35
KSMUSDT,27.25,11.11.2022 14:41:35
XMRUSDT,128.7,11.11.2022 14:41:36
QTUMUSDT,2.29,11.11.2022 14:41:36
XLMUSDT,0.0976,11.11.2022 14:41:36
ATOMUSDT,12.12,11.11.2022 14:41:36
SOLUSDT,17.74,11.11.2022 14:41:37
ZILUSDT,0.02367,11.11.2022 14:41:37
GMTUSDT,0.4094,11.11.2022 14:41:37
BNBUSDT,295.4,11.11.2022 14:41:37
AVAXUSDT,14.95,11.11.2022 14:41:38
VETUSDT,0.02195,11.11.2022 14:41:38
WAVESUSDT,2.48,11.11.2022 14:41:38
IOSTUSDT,0.00914,11.11.2022 14:41:38
ETCUSDT,21.935,11.11.2022 14:41:39
SANDUSDT,0.6563,11.11.2022 14:41:39
APEUSDT,3.38,11.11.2022 14:41:39
MATICUSDT,1.0766,11.11.2022 14:41:40
GALAUSDT,0.03247,11.11.2022 14:41:40
AXSUSDT,7.21,11.11.2022 14:41:40
NEARUSDT,2.249,11.11.2022 14:41:41
JASMYUSDT,0.0041,11.11.2022 14:41:41
LRCUSDT,0.2745,11.11.2022 14:41:41
THETAUSDT,0.987,11.11.2022 14:41:41
FTMUSDT,0.202,11.11.2022 14:41:42
SRMUSDT,0.41,11.11.2022 14:41:42
SLPUSDT,0.00272,11.11.2022 14:41:42
DYDXUSDT,2.125,11.11.2022 14:41:42
CRVUSDT,0.691,11.11.2022 14:41:43
