Ticker,LastPrice,UpdateDate
TIMEUSDT,60.113,09/22/22 21:54:48
WEMIXUSDT,1.738,09/22/22 21:54:48
ROSNUSDT,0.01784,09/22/22 21:54:49
ALPACAUSDT,0.2818,09/22/22 21:54:49
RMRKUSDT,2.4547,09/22/22 21:54:49
NIMUSDT,0.0012733,09/22/22 21:54:50
EOS3LUSDT,1.453118,09/22/22 21:54:50
SRBPUSDT,1.1385,09/22/22 21:54:50
NEAR3SUSDT,0.079049,09/22/22 21:54:50
ROARUSDT,0.01152,09/22/22 21:54:51
SOL3LUSDT,0.000264,09/22/22 21:54:51
PBRUSDT,0.06323,09/22/22 21:54:51
XRP3SUSDT,4.2273,09/22/22 21:54:52
OOEUSDT,0.0238,09/22/22 21:54:53
AIUSDT,0.001052,09/22/22 21:54:54
HTUSDT,4.5128,09/22/22 21:54:55
FKXUSDT,0.04753,09/22/22 21:54:55
UNOUSDT,0.04021,09/22/22 21:54:55
USDNUSDT,0.9547,09/22/22 21:54:55
MNSTUSDT,0.00553,09/22/22 21:54:56
HAPIUSDT,7.3993,09/22/22 21:54:56
PLATOUSDT,0.000831,09/22/22 21:54:56
POSIUSDT,0.1018,09/22/22 21:54:57
BNTUSDT,0.4362,09/22/22 21:54:57
ETNUSDT,0.0031757,09/22/22 21:54:57
COMBUSDT,0.001431,09/22/22 21:54:58
BOBAUSDT,0.304,09/22/22 21:54:58
FTGUSDT,0.00634,09/22/22 21:54:58
BAXUSDT,5.43e-05,09/22/22 21:54:58
DOGE3LUSDT,0.001138,09/22/22 21:54:59
XDCUSDT,0.02799,09/22/22 21:54:59
SKEYUSDT,0.01517,09/22/22 21:54:59
LINK3LUSDT,0.001926,09/22/22 21:55:00
SOLRUSDT,0.04694,09/22/22 21:55:00
LBPUSDT,0.002226,09/22/22 21:55:01
XCHUSDT,34.533,09/22/22 21:55:02
FSNUSDT,0.2206,09/22/22 21:55:02
QRDOUSDT,0.2044,09/22/22 21:55:02
PMONUSDT,1.3485,09/22/22 21:55:03
