Ticker,LastPrice,UpdateDate
1INCHUSDT,0.5795,30.09.2022 13:40:30
AAVEUSDT,76.76,30.09.2022 13:40:30
ABTUSDT,0.1313,30.09.2022 13:40:30
ACAUSDT,0.184,30.09.2022 13:40:30
ADAUSDT,0.43396,30.09.2022 13:40:31
AERGOUSDT,0.1265,30.09.2022 13:40:31
AGLDUSDT,0.3214,30.09.2022 13:40:31
AKITAUSDT,1.259e-07,30.09.2022 13:40:31
ALCXUSDT,21.3,30.09.2022 13:40:31
ALGOUSDT,0.3542,30.09.2022 13:40:32
ALPHAUSDT,0.1144,30.09.2022 13:40:32
ANCUSDT,0.0942,30.09.2022 13:40:32
ANTUSDT,1.675,30.09.2022 13:40:32
ANWUSDT,0.00092,30.09.2022 13:40:33
APEUSDT,5.4502,30.09.2022 13:40:33
API3USDT,1.635,30.09.2022 13:40:33
APIXUSDT,0.00412,30.09.2022 13:40:34
APMUSDT,0.03045,30.09.2022 13:40:34
ARGUSDT,6.369,30.09.2022 13:40:34
ARKUSDT,0.381,30.09.2022 13:40:34
ARUSDT,9.17,30.09.2022 13:40:34
ASTRUSDT,0.0381,30.09.2022 13:40:35
ASTUSDT,0.1175,30.09.2022 13:40:35
ATOMUSDT,12.907,30.09.2022 13:40:35
AUCTIONUSDT,6.52,30.09.2022 13:40:35
AVAXUSDT,17.45,30.09.2022 13:40:36
AXSUSDT,12.66,30.09.2022 13:40:36
AZYUSDT,0.05946,30.09.2022 13:40:36
BABYDOGEUSDT,1.153e-09,30.09.2022 13:40:36
BADGERUSDT,3.689,30.09.2022 13:40:37
BALUSDT,5.431,30.09.2022 13:40:37
BANDUSDT,1.225,30.09.2022 13:40:37
BATUSDT,0.306,30.09.2022 13:40:37
BCDUSDT,0.1666,30.09.2022 13:40:38
BCHUSDT,116.93,30.09.2022 13:40:38
BETHUSDT,1311.59,30.09.2022 13:40:38
BHPUSDT,0.1798,30.09.2022 13:40:39
BICOUSDT,0.423,30.09.2022 13:40:39
BLOKUSDT,0.003,30.09.2022 13:40:39
BNTUSDT,0.4368,30.09.2022 13:40:39
BORAUSDT,0.236,30.09.2022 13:40:40
BORINGUSDT,0.00601,30.09.2022 13:40:40
BRWLUSDT,0.00364,30.09.2022 13:40:40
BSVUSDT,49.16,30.09.2022 13:40:40
BTCUSDT,19484.8,30.09.2022 13:40:41
BTGUSDT,20.46,30.09.2022 13:40:41
BTMUSDT,0.00888,30.09.2022 13:40:41
BTTUSDT,7.8e-07,30.09.2022 13:40:41
BZZUSDT,0.5305,30.09.2022 13:40:42
CELOUSDT,0.813,30.09.2022 13:40:42
CELRUSDT,0.01552,30.09.2022 13:40:42
CELTUSDT,0.002397,30.09.2022 13:40:42
CELUSDT,1.4382,30.09.2022 13:40:43
CFGUSDT,0.2977,30.09.2022 13:40:43
CFXUSDT,0.04183,30.09.2022 13:40:43
CGSUSDT,0.0163,30.09.2022 13:40:43
CHATUSDT,0.000994,30.09.2022 13:40:43
CHEUSDT,0.02048,30.09.2022 13:40:44
CHZUSDT,0.23773,30.09.2022 13:40:44
CITYUSDT,6.6015,30.09.2022 13:40:44
CLVUSDT,0.0831,30.09.2022 13:40:45
CMTUSDT,0.00228,30.09.2022 13:40:45
CNTMUSDT,0.1167,30.09.2022 13:40:45
COMPUSDT,61.48,30.09.2022 13:40:45
CONVUSDT,0.000813,30.09.2022 13:40:45
COVERUSDT,21.6,30.09.2022 13:40:46
CQTUSDT,0.0697,30.09.2022 13:40:46
CROUSDT,0.1107,30.09.2022 13:40:46
CRVUSDT,0.933,30.09.2022 13:40:47
CSPRUSDT,0.02961,30.09.2022 13:40:47
CTCUSDT,0.301,30.09.2022 13:40:47
CTXCUSDT,0.1114,30.09.2022 13:40:47
CVCUSDT,0.1283,30.09.2022 13:40:47
CVPUSDT,0.331,30.09.2022 13:40:48
CVTUSDT,0.0014,30.09.2022 13:40:48
CVXUSDT,4.93,30.09.2022 13:40:48
DAIUSDT,0.9998,30.09.2022 13:40:48
DAOUSDT,1.414,30.09.2022 13:40:49
DASHUSDT,42.02,30.09.2022 13:40:49
DCRUSDT,25.66,30.09.2022 13:40:49
DEPUSDT,0.00596,30.09.2022 13:40:50
DEVTUSDT,0.02191,30.09.2022 13:40:50
DGBUSDT,0.00948,30.09.2022 13:40:50
DHTUSDT,0.1294,30.09.2022 13:40:50
DIAUSDT,0.384,30.09.2022 13:40:50
DMDUSDT,9.84,30.09.2022 13:40:51
DNAUSDT,5.73e-05,30.09.2022 13:40:51
DOGEUSDT,0.06048,30.09.2022 13:40:51
DOMEUSDT,0.00228,30.09.2022 13:40:52
DORAUSDT,2.794,30.09.2022 13:40:52
DOSEUSDT,0.009,30.09.2022 13:40:52
DOTUSDT,6.449,30.09.2022 13:40:52
DYDXUSDT,1.256,30.09.2022 13:40:52
ECUSDT,0.00029,30.09.2022 13:40:53
EDENUSDT,0.0759,30.09.2022 13:40:53
EFIUSDT,0.112,30.09.2022 13:40:53
EGLDUSDT,48.87,30.09.2022 13:40:53
EGTUSDT,0.000405,30.09.2022 13:40:54
ELFUSDT,0.1303,30.09.2022 13:40:54
ELONUSDT,2.598e-07,30.09.2022 13:40:54
ELTUSDT,0.004075,30.09.2022 13:40:54
EMUSDT,0.001416,30.09.2022 13:40:55
ENJUSDT,0.4593,30.09.2022 13:40:55
ENSUSDT,15.45,30.09.2022 13:40:55
EOSUSDT,1.1934,30.09.2022 13:40:55
ERNUSDT,2.76,30.09.2022 13:40:56
ETCUSDT,27.741,30.09.2022 13:40:56
ETHUSDT,1336.71,30.09.2022 13:40:56
ETHWUSDT,11.752,30.09.2022 13:40:56
EURTUSDT,0.9772,30.09.2022 13:40:57
FAIRUSDT,0.000987,30.09.2022 13:40:57
FAMEUSDT,0.0059,30.09.2022 13:40:57
FILUSDT,5.72,30.09.2022 13:40:57
FITFIUSDT,0.0544,30.09.2022 13:40:58
FLMUSDT,0.1116,30.09.2022 13:40:58
FLOWUSDT,1.686,30.09.2022 13:40:58
FODLUSDT,0.0091,30.09.2022 13:40:59
FORTHUSDT,4.7,30.09.2022 13:40:59
FRONTUSDT,0.2262,30.09.2022 13:40:59
FSNUSDT,0.2298,30.09.2022 13:40:59
FTMUSDT,0.227,30.09.2022 13:41:00
GALAUSDT,0.04043,30.09.2022 13:41:00
GALFTUSDT,2.291,30.09.2022 13:41:00
GARIUSDT,0.0518,30.09.2022 13:41:00
GASUSDT,2.28,30.09.2022 13:41:00
GFUSDT,0.1677,30.09.2022 13:41:01
