ticker,last_price,update_date,max_leverage,delisted
ETHUSD,1284.81,08.11.2022 21:25:03,20,0
XRPUSD,0.3885,08.11.2022 21:25:03,20,0
LINKUSD,7.252,08.11.2022 21:25:03,20,0
XTZUSD,1.13,08.11.2022 21:25:04,20,0
LTCUSD,56.18,08.11.2022 21:25:04,20,0
GOLDUSD,1706.05,08.11.2022 21:25:04,20,0
ADAUSD,0.3642,08.11.2022 21:25:04,20,0
BCHUSD,101.6,08.11.2022 21:25:05,20,0
COMPUSD,40.85,08.11.2022 21:25:05,20,0
YFIUSD,6675.0,08.11.2022 21:25:05,20,0
ALGOUSD,0.3232,08.11.2022 21:25:05,20,0
TRXUSD,0.0572,08.11.2022 21:25:06,20,0
EOSUSD,0.936,08.11.2022 21:25:06,20,0
ONTUSD,0.1885,08.11.2022 21:25:06,20,0
NEOUSD,7.18,08.11.2022 21:25:06,20,0
DOTUSD,6.089,08.11.2022 21:25:07,20,0
UNIUSD,5.888,08.11.2022 21:25:07,20,0
AAVEUSD,71.8,08.11.2022 21:25:07,20,0
DOGEUSD,0.087,08.11.2022 21:25:08,20,0
BATUSD,0.2673,08.11.2022 21:25:08,20,0
CHZUSD,0.1988,08.11.2022 21:25:08,20,0
MANAUSD,0.5548,08.11.2022 21:25:09,20,0
ENJUSD,0.3871,08.11.2022 21:25:09,20,0
SUSHIUSD,1.323,08.11.2022 21:25:09,20,0
SNXUSD,2.059,08.11.2022 21:25:09,20,0
GRTUSD,0.0733,08.11.2022 21:25:10,20,0
MKRUSD,688.5,08.11.2022 21:25:10,20,0
ZECUSD,41.12,08.11.2022 21:25:10,20,0
FILUSD,4.62,08.11.2022 21:25:10,20,0
KSMUSD,28.67,08.11.2022 21:25:11,20,0
XMRUSD,133.88,08.11.2022 21:25:11,20,0
QTUMUSD,2.384,08.11.2022 21:25:11,20,0
XLMUSD,0.0968,08.11.2022 21:25:11,20,0
ATOMUSD,12.124,08.11.2022 21:25:12,20,0
SOLUSD,23.166,08.11.2022 21:25:12,20,0
uBTCUSD,18055.9,08.11.2022 21:25:12,20,0
ZILUSD,0.0259,08.11.2022 21:25:12,20,0
GMTUSD,0.499,08.11.2022 21:25:12,20,0
BNBUSD,313.85,08.11.2022 21:25:13,20,0
AVAXUSD,15.45,08.11.2022 21:25:13,20,0
u100VETUSD,2.289,08.11.2022 21:25:13,20,0
WAVESUSD,2.63,08.11.2022 21:25:14,20,0
u100000SHIBUSD,0.988,08.11.2022 21:25:14,20,0
u100IOSTUSD,0.95,08.11.2022 21:25:14,20,0
ETCUSD,21.3,08.11.2022 21:25:14,20,0
SANDUSD,0.676,08.11.2022 21:25:15,20,0
APEUSD,3.68,08.11.2022 21:25:15,20,0
MATICUSD,1.019,08.11.2022 21:25:15,20,0
GALAUSD,0.0308,08.11.2022 21:25:16,20,0
AXSUSD,7.48,08.11.2022 21:25:16,20,0
NEARUSD,2.57,08.11.2022 21:25:16,20,0
u100JASMYUSD,0.42,08.11.2022 21:25:16,20,0
LRCUSD,0.256,08.11.2022 21:25:17,20,0
THETAUSD,1.003,08.11.2022 21:25:17,20,0
FTMUSD,0.2096,08.11.2022 21:25:17,20,0
SRMUSD,0.54,08.11.2022 21:25:18,20,0
u100SLPUSD,0.29,08.11.2022 21:25:18,20,0
DYDXUSD,1.369,08.11.2022 21:25:18,20,0
CRVUSD,0.747,08.11.2022 21:25:18,20,0
DASHUSD,37.56,08.11.2022 21:25:19,20,0
