Ticker,LastPrice,UpdateDate
SPY,362.79,30.09.2022 14:47:30
QQQ,271.87,30.09.2022 14:47:31
DIA,292.21,30.09.2022 14:47:31
RKT,6.47,30.09.2022 14:47:31
MSFT,237.5,30.09.2022 14:47:31
ABNB,106.66,30.09.2022 14:47:31
PYPL,88.7,30.09.2022 14:47:31
FCX,28.17,30.09.2022 14:47:31
AA,35.43,30.09.2022 14:47:32
BIDU,117.72,30.09.2022 14:47:32
NFLX,239.71,30.09.2022 14:47:32
ZM,74.47,30.09.2022 14:47:32
HOOD,9.77,30.09.2022 14:47:32
UBER,26.42,30.09.2022 14:47:32
MSTR,211.82,30.09.2022 14:47:32
MCD,234.4,30.09.2022 14:47:33
AAPL,142.48,30.09.2022 14:47:33
BYND,14.43,30.09.2022 14:47:33
TECK,30.64,30.09.2022 14:47:33
JPM,106.16,30.09.2022 14:47:34
WMT,132.25,30.09.2022 14:47:34
LMT,389.79,30.09.2022 14:47:34
GOOG,98.09,30.09.2022 14:47:34
BA,125.33,30.09.2022 14:47:34
GM,33.26,30.09.2022 14:47:34
GS,296.11,30.09.2022 14:47:35
XOM,88.68,30.09.2022 14:47:35
NKE,95.33,30.09.2022 14:47:35
LCID,14.19,30.09.2022 14:47:35
SPCE,4.87,30.09.2022 14:47:35
RACE,186.42,30.09.2022 14:47:35
SNAP,10.19,30.09.2022 14:47:36
DASH,49.84,30.09.2022 14:47:36
TWTR,42.74,30.09.2022 14:47:36
C,42.39,30.09.2022 14:47:36
TLRY,2.86,30.09.2022 14:47:36
AMZN,114.8,30.09.2022 14:47:36
COIN,61.94,30.09.2022 14:47:36
PTON,7.05,30.09.2022 14:47:37
ADSK,189.46,30.09.2022 14:47:37
BABA,79.06,30.09.2022 14:47:37
SOFI,4.84,30.09.2022 14:47:37
QCOM,114.84,30.09.2022 14:47:37
GME,25.46,30.09.2022 14:47:37
UPST,21.0,30.09.2022 14:47:37
AMD,64.14,30.09.2022 14:47:38
T,15.53,30.09.2022 14:47:38
BAC,30.66,30.09.2022 14:47:38
RIOT,7.09,30.09.2022 14:47:38
NVDA,122.2,30.09.2022 14:47:38
TSLA,268.21,30.09.2022 14:47:38
AMC,7.1,30.09.2022 14:47:38
MA,286.77,30.09.2022 14:47:39
DIS,97.45,30.09.2022 14:47:39
PG,128.7,30.09.2022 14:47:39
PFE,44.16,30.09.2022 14:47:39
SHOP,26.77,30.09.2022 14:47:39
ATVI,74.87,30.09.2022 14:47:40
META,136.41,30.09.2022 14:47:40
FSLR,130.93,30.09.2022 14:47:40
PLTR,8.08,30.09.2022 14:47:40
